"country","iso2","iso3","iso_numeric","g_whoregion","year","tx_dstb","budget_cpp_dstb","tx_mdr","budget_cpp_mdr","tx_xdr","budget_cpp_xdr","budget_lab","cf_lab","budget_staff","cf_staff","budget_fld","cf_fld","budget_prog","cf_prog","budget_sld","cf_sld","budget_mdrmgt","cf_mdrmgt","budget_tbhiv","cf_tbhiv","budget_patsup","cf_patsup","budget_orsrvy","cf_orsrvy","budget_oth","cf_oth","budget_tot","cf_tot","cf_tot_domestic","cf_tot_gf","cf_tot_usaid","cf_tot_grnt","cf_tot_sources"
"Andorra","AD","AND","020","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,
"Bangladesh","BD","BGD","050","SEA",2018,237000,43,1306,2118,8,9224,22368855,8004443,17313659,15660486,9498160,9498160,3489353,2728045,2666080,2988846,23181,15412,15536,210817,2321552,1028548,49336,9471,8695031,6005416,66440743,46149644,9498160,36651484,0,0,46149644
"Benin","BJ","BEN","204","AFR",2018,4278,62,24,734,2,6114,606750,579090,834567,552602,278657,261822,685419,676715,45678,39647,621500,350893,506789,404065,355908,345133,223196,18125,308293,36501,4466757,3264593,350893,2913700,0,0,3264593
"Brazil","BR","BRA","076","AMR",2018,86000,45,1100,2913,30,15404,5500000,5339198,12000000,9631756,4054118,4054118,21000000,17855630,3116569,3116569,3000000,1729605,2000000,989014,,,6000000,5271458,,,56670687,47987348,47987348,0,0,0,47987348
"Cambodia","KH","KHM","116","WPR",2018,35000,30,140,2500,,,3658217,1594549,8408491,3068829,1335340,1335340,13523122,6725881,515619,248706,1856554,76522,943787,58566,1784452,174546,108426,0,4820101,5775,36954109,13288714,4559546,4979168,1700000,2050000,13288714
"Cameroon","CM","CMR","120","AFR",2018,29280,77,236,354,5,494,1323630,346870,989728,703524,2951455,768685,926114,192171,431738,66791,107934,16698,118203,0,2017699,308187,65000,0,1354020,1804333,10285521,4207259,1452071,2755188,0,,4207259
"Central African Republic","CF","CAF","140","AFR",2018,10959,25,95,2000,2,2500,219973,209160,427639,302582,300740,188090,300000,200000,200000,36848,100000,62107,80000,11565,250000,250000,25000,25000,,,1903352,1285352,272484,1012868,,,1285352
"China","CN","CHN","156","WPR",2018,773148,48,8000,12041,,,11047619,11047619,137934914,137934914,36816571,36816571,285220215,246543967,96330159,67431111,20209524,20209524,,,,,21038835,21038835,,,608597837,541022541,527810103,,,13212438,541022541
"Congo","CG","COG","178","AFR",2018,11628,19,70,1647,0,0,101806,101806,0,0,217394,217394,1091802,1091802,115312,115312,0,0,0,0,0,0,0,0,0,0,1526314,1526314,1091802,434512,0,0,1526314
"Czechia","CZ","CZE","203","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2018,116618,34,1600,1066,,,3689221,108700,2517300,2517300,9872144,120200,6390819,1236037,4547500,639600,1011100,286100,0,0,37401138,183100,1019569,171700,17390262,1367600,83839053,6630337,5721900,268837,0,639600,6630337
"Democratic Republic of the Congo","CD","COD","180","AFR",2018,180986,71,1727,3100,172,16450,7098269,3973483,5310169,4886695,14106754,7151954,18836191,8866354,8183100,2673142,5128822,1495887,5096855,1363357,1613520,158976,953377,692236,8000350,6281075,74327407,37543159,1500045,25666879,4601139,5775096,37543159
"Denmark","DK","DNK","208","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2018,117705,45,2900,2300,,,19753571,9494709,8366818,7190246,5722274,1669754,15728402,11798714,7227996,2138821,4310069,1866098,7421147,4304264,1052774,634725,7342289,372818,15711896,1060075,92637236,40530224,10190096,16793726,10706629,2839773,40530224
"France","FR","FRA","250","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germany","DE","DEU","276","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guatemala","GT","GTM","320","AMR",2018,4172,51,105,1060,13,11075,710407,228816,1245001,757126,456452,212772,1665943,1073055,14509177,96633,592288,592288,20322,20322,161458,161458,0,0,0,0,19361048,3142470,1316584,1825886,,,3142470
"India","IN","IND","356","SEA",2018,2916997,45,59400,1000,2970,5000,95306868,95306868,95008728,95008728,83050332,83050332,52757187,52757187,109602165,109602165,65644733,65644733,14726090,14726090,15236035,15236035,10087250,10087250,38086980,38086980,579506368,579506368,458064516,71441852,20000000,30000000,579506368
"Indonesia","ID","IDN","360","SEA",2018,530493,36,5733,1216,,,60171533,32908895,48261024,52771535,19527191,18866193,139920740,34148154,2947952,1377944,16870810,3951972,4900724,1268160,1155911,3226981,733540,925929,0,0,294489425,149445763,101565995,38499843,9112295,267630,149445763
"Israel","IL","ISR","376","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenya","KE","KEN","404","AFR",2018,98373,22,671,1056,36,5000,5000000,3324591,13000000,12554507,2164206,2164206,3000000,2774849,888576,304192,2000000,425922,3000000,1052157,3080000,62125,2000000,716927,8000000,3401295,42132782,26780771,13794399,12894020,92352,0,26780771
"Lesotho","LS","LSO","426","AFR",2018,7200,30,264,3000,,,6666,6666,400000,270198,216000,216000,550000,337197,792000,792000,600000,450000,,,332000,332000,421772,421772,,,3318438,2825833,1011281,1814552,,,2825833
"Liberia","LR","LBR","430","AFR",2018,9008,43,232,1446,0,0,1089641,1089641,0,0,,,5307206,5307206,0,0,0,0,,,0,0,,0,,,6396847,6396847,152040,1497464,0,4747343,6396847
"Madagascar","MG","MDG","450","AFR",2018,34007,20,55,823,0,0,782676,351029,355032,333617,120682,109590,495318,1872664,,,35844,51946,19463,49525,204551,275265,,0,685837,238346,2699403,3281982,,3281982,,,3281982
"Montserrat","MS","MSR","500","AMR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA","MAR","504","EMR",2018,34300,52,247,970,25,6770,1500600,510600,8604000,8604000,3630000,3630000,1017000,1017000,2116000,2116000,482100,86100,125600,125600,19000,19000,0,0,11473200,187200,28967500,16295500,15520000,775500,0,0,16295500
"Mozambique","MZ","MOZ","508","AFR",2018,90794,29,1600,3037,84,3037,4468044,4468044,1828000,1828000,2633026,2633026,6081267,6081267,5114308,5114308,2797806,2797806,5718712,5718712,140000,140000,1200000,1200000,453389,453389,30434552,30434552,1500000,20682455,,8252097,30434552
"Myanmar","MM","MMR","104","SEA",2018,158624,24,3400,1040,30,10000,5412579,3370038,17739258,1374528,4691620,4691620,3679588,927615,3836000,2075759,1612970,846272,1971828,122017,3244916,2975443,976346,934756,14536313,14536313,57701418,31854361,2125422,25722031,1000000,3006908,31854361
"Namibia","NA","NAM","516","AFR",2018,8525,62,363,3315,36,,,,8286571,5800600,528550,528550,27092018,18964126,1203345,1203345,,,204034,136022,5836095,0,5859012,2732286,,,49009625,29364929,27940544,1400000,24385,,29364929
"Nauru","NR","NRU","520","WPR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,10478,,,,,,
"Nigeria","NG","NGA","566","AFR",2018,391700,37,11116,2831,445,23970,78675538,11618421,61450894,41612713,16642681,4311970,63518752,13846084,53599417,5869061,55158873,7879802,15153505,5000000,58911331,2743075,1652872,103383,4341679,3621996,409105542,96606505,31640126,42966379,22000000,0,96606505
"Pakistan","PK","PAK","586","EMR",2018,393242,32,3840,2162,160,11616,28595078,4237599,10857194,10857194,12583744,10511926,16584529,16184187,28383793,13300840,7596855,1991746,204189,100683,4651534,3115720,1424714,527033,7596855,6832406,118478485,67659334,3636632,64022702,0,0,67659334
"Papua New Guinea","PG","PNG","598","WPR",2018,33858,35,588,2096,,,2250651,2250651,1827842,753710,1185030,1185030,8302148,4302148,1232448,1232448,2023133,1023133,7065378,5051955,766145,766145,159699,117000,3557406,3557406,28369880,20239626,14245222,3788325,95000,2111079,20239626
"Philippines","PH","PHL","608","WPR",2018,420260,21,9636,6630,96,7958,41802865,22853381,3714047,1359856,12242246,9788446,41706357,36913280,14794535,7382258,2452622,1902001,773270,524074,30585943,3830515,1980097,181327,9564271,8570721,159616253,93305859,59080154,29695082,2154958,2375665,93305859
"Portugal","PT","PRT","620","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russian Federation","RU","RUS","643","EUR",2018,74522,58,28806,3107,3491,10100,26329894,26329894,836264980,836264980,11276013,11276013,93780172,93780172,87096227,87096227,15621891,15621891,1174320,1174320,1176378,1176378,130355,130355,361729048,361729048,1434579278,1434579278,1434579278,0,0,0,1434579278
"Sierra Leone","SL","SLE","694","AFR",2018,22278,32,195,1024,,,4000000,2618874,300000,264591,712896,712896,4288620,3744386,199680,199680,2575678,2273293,1056246,680663,500000,,192273,,1674607,1479797,15500000,11974180,264591,11086383,35465,587741,11974180
"South Africa","ZA","ZAF","710","AFR",2018,291690,35,14863,678,3880,5016,139515641,139515641,9222370,9222370,10923791,10923791,24983919,24983919,31606938,31606938,2574514,2574514,9196987,9196987,16180851,16180851,1642857,0,24690225,24690225,270538093,268895236,247352379,9042857,12500000,,268895236
"Syrian Arab Republic","SY","SYR","760","EMR",2018,2800,60,18,3000,3,6000,184000,184000,,,162000,162000,70000,70000,72000,72000,,,,,214800,214800,1000,1000,,,703800,703800,0,703800,0,0,703800
"Tajikistan","TJ","TJK","762","EUR",2018,5498,44,569,2060,244,4860,4051834,3069571,1913620,1472015,241912,241912,1205492,913252,2569883,2569883,176260,133530,2784620,2142016,847887,642339,48750,37500,2300615,1742891,16140873,12964909,3016064,6237268,3069651,641926,12964909
"Thailand","TH","THA","764","SEA",2018,136730,72,843,4792,24,36749,2946152,2946152,1528138,1528138,9844549,9844549,5124733,5124733,5057765,5057765,476128,476128,14672,14672,205043,205043,34349,34349,629220,629220,25860749,25860749,22387230,3439170,0,34349,25860749
"Togo","TG","TGO","768","AFR",2018,3176,9,35,733,0,0,124355,124355,249682,249682,27265,27265,156914,156914,25662,25662,30132,30132,0,0,41464,41464,8554,8554,132287,132287,796315,796315,222404,491735,0,82176,796315
"Tonga","TO","TON","776","WPR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,207875,,,,,,
"United Republic of Tanzania","TZ","TZA","834","AFR",2018,75184,20,511,7800,1,30000,23063598,3360616,1436888,1436888,3831477,3831477,20980062,12598788,4015800,1073061,4723045,3225000,4959008,4810133,223939,77344,707250,471025,,,63941067,30884332,1766642,16091737,12275953,750000,30884332
"Viet Nam","VN","VNM","704","WPR",2018,101745,55,2849,671,571,3684,6942607,1877007,25501815,1140656,5500000,5460435,12932351,7614234,3324900,4104274,9852358,5187910,1816512,515358,3046533,1260266,818463,148759,62619,58370,69798158,27367269,7917308,17006869,,2443092,27367269
"Wallis and Futuna Islands","WF","WLF","876","WPR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2018,50654,156,411,2940,20,4397,15624861,12124861,928340,618115,7902024,7302024,1490000,1000000,1296280,1096280,3418818,3018818,3579570,3079570,1807679,920000,1300000,700000,410000,410000,37757572,30269668,10612996,9044576,7000000,3612096,30269668
"Zimbabwe","ZW","ZWE","716","AFR",2018,30953,29,566,1038,30,3568,2940555,2042674,1606895,1606895,884732,884732,20157987,6487579,694548,694548,307412,307412,2521675,428650,210000,178800,260000,172400,0,0,29583804,12803690,,7203690,5600000,,12803690
