"country","iso2","iso3","iso_numeric","g_whoregion","year","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","r_rlt_new","r_rlt_ret","rr_new","rr_ret","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt","rr_ds_fq2li","rr_dr_fq","rr_dr_2li","rr_dr_fq_2li","mdr_dst_rlt","xdr"
"Andorra","AD","AND","020","EUR",2017,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin","BJ","BEN","204","AFR",2017,2783,259,0,11,259,4,14,1,11,0,6,0,9,0,4,18,18,0,0,0,4,0
"Botswana","BW","BWA","072","AFR",2017,1129,122,858,,,,,,,,,,,,,,,,,,,
"Brazil","BR","BRA","076","AMR",2017,45341,9359,142,15367,3641,480,267,,,,,,,,,,,,,,112,16
"Cameroon","CM","CMR","120","AFR",2017,13448,378,0,3806,378,107,78,49,43,36,24,46,34,36,24,74,74,0,1,1,60,0
"Central African Republic","CF","CAF","140","AFR",2017,4882,419,0,17,251,0,93,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"Chad","TD","TCD","148","AFR",2017,4732,626,0,408,360,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China","CN","CHN","156","WPR",2017,212914,27873,,89171,19099,7718,5351,89171,19099,9558,5335,7718,5351,5339,4248,,,,,,,
"Congo","CG","COG","178","AFR",2017,3806,258,0,74,258,3,55,0,,0,,0,,0,,0,0,0,0,0,0,0
"Czechia","CZ","CZE","203","EUR",2017,345,24,0,296,16,3,3,296,16,8,3,3,3,3,3,6,3,2,3,2,6,2
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,93555,5871,0,4682,5854,326,559,41,293,9,277,41,293,9,277,318,301,18,0,1,286,1
"Denmark","DK","DNK","208","EUR",2017,159,16,0,155,16,1,0,155,16,3,0,1,0,1,0,1,1,0,0,0,1,0
"Ethiopia","ET","ETH","231","AFR",2017,43113,3035,,,,,,,,,,,,,,205,,9,1,1,,
"Germany","DE","DEU","276","EUR",2017,77,156,3115,67,103,6,20,67,99,13,25,6,20,6,17,19,11,5,3,0,17,0
"Ghana","GH","GHA","288","AFR",2017,7924,862,2,7896,862,63,146,63,146,12,37,12,37,12,37,0,0,0,0,0,0,0
"Guatemala","GT","GTM","320","AMR",2017,2610,150,0,851,138,31,44,282,80,11,27,6,13,6,13,8,5,2,1,0,8,1
"Guinea-Bissau","GW","GNB","624","AFR",2017,1750,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"India","IN","IND","356","SEA",2017,814246,176450,0,270825,156428,7976,23232,51827,26229,6462,7621,2303,5832,2152,5357,21546,14176,7397,2093,2120,6787,466
"Indonesia","ID","IDN","360","SEA",2017,200946,15970,2467,17138,16660,1188,3882,259,1778,148,1418,198,1628,140,1356,1784,1451,271,109,47,1321,50
"Ireland","IE","IRL","372","EUR",2017,103,7,62,96,7,2,0,95,7,4,0,2,0,2,0,2,2,0,0,0,2,0
"Israel","IL","ISR","376","EUR",2017,129,2,0,129,2,7,1,129,2,16,1,7,1,7,1,8,3,1,5,1,8,1
"Kenya","KE","KEN","404","AFR",2017,44365,3506,0,28316,2933,193,129,176,125,110,81,176,125,110,81,198,190,8,1,1,,
"Lesotho","LS","LSO","426","AFR",2017,3128,602,0,,,,,,,,,,,,,,,,,,,
"Liberia","LR","LBR","430","AFR",2017,3232,150,0,1338,59,88,,,,,,,,,,,,,,,,
"Malawi","MW","MWI","454","AFR",2017,6360,790,4,29,298,1,1,29,298,1,8,1,1,1,1,,,,,,,
"Mozambique","MZ","MOZ","508","AFR",2017,29292,2727,34,,,,,299,484,103,231,110,247,84,210,209,156,47,25,19,177,18
"Myanmar","MM","MMR","104","SEA",2017,42489,7118,2,34835,6406,1711,1486,161,245,43,107,33,67,33,25,198,187,29,5,23,58,23
"Namibia","NA","NAM","516","AFR",2017,4807,1278,3,,,251,158,158,119,138,103,155,114,135,98,80,59,17,18,14,64,14
"Nauru","NR","NRU","520","WPR",2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria","NG","NGA","566","AFR",2017,73556,3882,104,819,967,819,967,,,,,,,,,691,482,,,14,57,14
"Papua New Guinea","PG","PNG","598","WPR",2017,3784,362,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
"Portugal","PT","PRT","620","EUR",2017,1057,87,0,601,51,9,1,601,51,37,4,9,1,9,1,7,5,1,1,0,7,0
"South Africa","ZA","ZAF","710","AFR",2017,113126,16455,2879,4103,1410,3735,1349,4014,1386,2376,852,3732,1348,2311,837,,,,,,,
"South Sudan","SS","SSD","728","AFR",2017,3859,437,37,179,115,17,15,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
"Spain","ES","ESP","724","EUR",2017,2294,132,441,702,44,19,5,691,44,39,5,19,5,15,4,20,14,5,2,1,18,1
"Sudan","SD","SDN","729","EMR",2017,6759,1201,75,290,561,24,78,3,40,3,37,3,40,3,37,,,,,,,
"Syrian Arab Republic","SY","SYR","760","EMR",2017,,77,,201,39,9,6,171,38,21,12,10,7,9,6,0,0,0,0,0,0,0
"Tajikistan","TJ","TJK","762","EUR",2017,2432,652,0,2432,652,490,153,496,154,419,134,490,153,413,133,464,428,55,103,122,508,279
"Thailand","TH","THA","764","SEA",2017,34195,3242,174,18630,5840,867,472,11227,3525,,,,,377,232,272,251,18,10,7,272,7
"Togo","TG","TGO","768","AFR",2017,2013,218,0,214,87,14,13,29,87,17,19,16,17,13,13,0,0,0,0,0,0,0
"Tokelau","TK","TKL","772","WPR",2017,0,2,0,,,,,,,,,,,,,,,,,,,
"Tonga","TO","TON","776","WPR",2017,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uganda","UG","UGA","800","AFR",2017,25494,2599,26,15644,1271,626,76,35,74,30,65,35,74,30,65,104,95,5,9,5,75,3
"United Republic of Tanzania","TZ","TZA","834","AFR",2017,26364,2625,,9503,1047,134,66,289,231,17,25,20,31,15,24,,43,1,0,0,39,0
"Wallis and Futuna Islands","WF","WLF","876","WPR",2017,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2017,14022,2421,,397,295,386,110,58,295,19,167,50,206,11,112,0,0,0,0,0,0,0
"Zimbabwe","ZW","ZWE","716","AFR",2017,12355,1036,54,,,,,,,,,,,,,,,,,,,
