Excerpt Copy,Codes Applied Combined,
"I think both of you pictures are very beautiful and showcase the best of Oregon's weather! Looking back at middle school and comparing the middle school in your memory to the middle school now, is it the same to you? Also, how does the weather affect you, if it does at all?","{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
that sounds really cool i like the school and businesses thing and what are the business.,"{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
thank you so do you have any ?,"{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"thank you, well to be honest with you its kind of wired here because here you can see alote of expensive cars like Lexus but you cant see any ferraris, Lamborghini or cool cars like that , i feel like everyone here copies the other one.","{Dialogue, Appreciate, Share Info, Community-related, ecological, sociological, Personal / Identity expression, Elaborate/Explain, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C , Interpret}",
"Hi there! Thanks for a really insightful and interactive post! I really appreciate the details you notice like the apartments in the background and your curiosity about how your city compares to other cities. I am from Canada and we have skytrains and buses in our public transportation system. I take the skytrain very often as well! In Vancouver, we have a skytrain system called the Canada Line that was recently constructed in 2009. How new is the max system?","{Dialogue, Appreciate, Share Info, Community-related, ecological, sociological, Personal details, Question, Probe , Connect, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"I like when you said ""the calm before the storm' on your first picture, it seems interesting.","{Dialogue, Appreciate, Snip, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I think it is very cool that they have a place where youths can have fun with there friends and other kids.,"{Dialogue, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
Hello lionman that's a really neat picture,"{Dialogue, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I am glad you like it,"{Dialogue, Appreciate, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"This is very Yo La Tengo. In your description, you mentioned that it captures the routine of the everyday, but I think that it does so in a very surreal way that severs the routine and makes it more objective. It's quite beautiful, actually; like a memory.","{Dialogue, Assuming shared knowledge, Other, Extend, Appreciate, Interpret, Snip, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Classmate-classmate , Reflect back, Coding question}",
 This kind of looks like Oregon in the summer or the spring..its really gorgeous,"{Dialogue, Connect, Appreciate, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I love spending time admiring the nature in my neighbourhood too! What other kinds of animals live near your area?,"{Dialogue, Connect, Personal / Identity expression, Question, Probe , Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Personal details}",
 Schools and businesses look very different in Beaverton! That's smart of the people to make businesses out of their homes to save money.,"{Dialogue, Differences statements, Share Info, Community-related, ecological, sociological, Extend, Appreciate, Interpret, Coding question, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"
Hello CMG02 of course because our city is beautiful and I like my city how is your city? how can you see our city?","{Dialogue, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Question, Probe , Other, Reader / audience sensitivity, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"Which language do you like speaking more? English or Spanish? I have a childhood park as well that I used to go to all the time, it's super fun and I bring my siblings there a lot when I babysit. I think that is really amazing and inspiring that you are staying in school while raising a child. xx","{Dialogue, Internet speak, use of emojis / emoticons, Question, Probe , Connect, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Personal details, Elaborate/Explain}",
"Yes it's very nice to have a park very close to where I live. I still go there with my son and play. Having a child is a HUGE responsibility, it's even harder when you are growing up yourself. I still am a student, but it's all thanks to the program I am in. It's a program where they provide us with daycare while we teen parent can still attend school and be a student. They also offer parenting classes to help us be better parents and manage our time. Thank you for your blessings, I greatly appreciate it! May God bless you as well! ","{Dialogue, Other, Coding question, Appreciate, Personal / Identity expression, Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C , Affirming utterance, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Personal details, Original Post, Elaborate/Explain, Internet speak, shorthand/internet speak}",
Am totally agree with we are all human and there is no different between us!,"{Dialogue, Personal / Identity expression, Connect, Thread, exchange, & comment characteristics, C-P , Affirming utterance, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Coding question}",
I dont really like ferris wheels there to slow i like fast rides like a roller coster and i like that convertible bmw it looks ice but i dont like convertible cars and what kind of car is the one infront of the bmw the white one.,"{Dialogue, Personal / Identity expression, Share Info, Personal details, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"How is the weather there? In Oregon , its always raining and sometimes very cold too! Do you enjoy your weather?","{Dialogue, Question, Not post-related , Differences statements, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"What do this companies do? and since you say you have your school in your neighborhood, does that mean you walk to your school?My school is also in my neighborhood, it is somewhat nice getting to walk to my school everyday.","{Dialogue, Question, Probe , Interpret, Reflect back, Connect, Share Info, Personal details, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Coding question}",
Hi do you like trees and forest? are you nature person?,"{Dialogue, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Original Post}",
"At school I speak English the most. Everyone here speaks spanish, but at home my whole family speaks Spanish and I speak Spanish the most at home. With my son I speak both Languages; I try to speak both equally so he gets to know both languages and later on know how to speak them fluently, but I always end up speaking spanish to him the most. what languages do you speak at home?","{Dialogue, Question, Probe , Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C , Elaborate/Explain, Share Info, Personal details, Community-related, ecological, sociological}",
" sorry, i didn't understand what you said.","{Dialogue, Reflect back, Other, Coding question, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
" you are telling me you like fast rides well the ferris wheel we have is the faster thing ever you should come and try it this ferris wheel in the pictures is so old that once you rid it pieces break off its really scary ,i know ferris wheels in other places is boring i have tried it in Germany its really slow but this one is diffrent. and for the white car i really dont remember what car was that ,what car do you like?","{Dialogue, Reflect back, Snip, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Personal details, Reader / audience sensitivity, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
optic :p,"{Dialogue, use of emojis / emoticons, Internet speak, Other, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Classmate-classmate , Coding question}",
"this is interesting, because we don't have those kind of side walks. And we don't really have plants in the middle of the sidewalk its usually off to the side in the grass or dirt, but theres not much dirt its mainly grass and trees. there a few plant on the side walks. and we have this one big school thats an all girls school with nuns but thats the only place i have heard there were nuns. other than that i haven't seen one since i was little at church.","{Differences statements, C-P , Commenter's own self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Extend, Community-related, ecological, sociological, Personal details, Share Info}",
"This is really interesting, we usually don't see places like this. Oregon is pretty much a forest, with a grey sky.","{Differences statements, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Dialogue, Appreciate, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Community-related, ecological, sociological, Extend, Share Info}",
That's very different from schools in the US. We don't Have to worry about loosing power in school.,"{Differences statements, Elaborate/Explain, C-P , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Extend, Community-related, ecological, sociological, Share Info}",
Wow ! This is so much different from the US. We never have the power out unless it is like a rain or wind storm. ,"{Differences statements, Elaborate/Explain, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Extend, Community-related, ecological, sociological, Share Info}",
"What do you remember of old ankawa when you see this street? But that's pretty interesting, because we normally don't see places like this. ","{Differences statements, Probe , C-P , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Appreciate, Dialogue, Question, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Extend}",
"These are the two Photos i have chose to post! When my class and i went on our 6 mile walk we got to explore our town Beaverton. The tree i posted is 200 years old! crazy i always had walked by this tree and had no clue that it was so old. The tree is beautiful and has been part of my town for so long, the fact that it still stands 200 years later is fascinating! The other picture is the whole group getting ready to walk into a forest in beaverton, which is rare because when do you see a forest in your town! It was so cool just walking through the nature with the students and looking at all that nature has to offer. It was unique and fun at the same time, people go on jogs, live next to and just explore the forest. Most people take nature for granted but when i had the chance to walk through i enjoyed all i could and took in the fresh air!","{Elaborate/Explain, Appreciate, Extend, Historical, Community-related, ecological, sociological, Original Post, Share Info, Coding question}",
"I thought this picture was a very good picture because even though it is not perfect quality it has a lot of detail. I like this picture because it shows that it was currently raining. Also it shows the way the sky looks while its raining very dark. I took this picture coming out of my apartments in Aloha,Oregon. I want others to see the weather and see how it looks when it is raining.","{Elaborate/Explain, Appreciate, Reader / audience sensitivity, Appreciate, Original Post, Coding question}",
"i find this interesting because now a day you don't see old buildings, they all are re-model or they brake it down to make new ones.","{Elaborate/Explain, C-P , Commenter's own self, context, post/work, Comment about other person self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Community-related, ecological, sociological, Share Info}",
I like the value of this photograph and how it captures the hole street and what I find very interesting is the design of the sidewalk and how the different color of the brick to make it because her USA our sidewalks are made of cement.,"{Elaborate/Explain, Differences statements, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Notice, Community-related, ecological, sociological, Share Info}",
"It is amazing on how this building has stayed the same for 120 years, but has had so much change around it. This made me a appreciate this building more.","{Elaborate/Explain, Extend, P-C , Commenter's own self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Dear,dmkm219 they are over 12 birds","{Elaborate/Explain, P-C , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
I find this picture very interesting because this picture reminds me of a place where a lot of kids place a sport or just run around and play tag . This picture also reminds me of a place in Mexico. ,"{Elaborate/Explain, Personal / Identity expression, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Personal details, Community-related, ecological, sociological, Share Info}",
Yes I do live near this bridge. It's about 10 minutes walking distance from my house.,"{Elaborate/Explain, Personal details, Commenter's own self, context, post/work, P-C , Dialogue, Share Info, Target Comment or Idea, Thread, exchange, & comment characteristics}",
I did't know that nun's had so many jobs and i think it is very cool that they sill have and make that stil of sidewalk and what type of car is it I don't think I ever seen this car before in the stats. ,"{Extend, Differences statements, Probe , Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Dialogue, Appreciate, Question, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"These are some things that I don't usually see in the street. The picture on the left side is a car from the 80's that has not seen a lot here in Ankawa because it's old and there is new models now of cars and mostly older people drive those kind of cars. The right side picture is a nun who is walking on the sidewalk of our school, we don't see nuns a lot out in the street I don't really know the reason but I think this is one of their rules. But they also have many works to do such as working as a nurse at the hospital, teaching at schools and some of them are even doctors.","{Historical, Community-related, ecological, sociological, Elaborate/Explain, Share Info, Original Post, Interpret}",
"The first photo captures along my walk of Beaverton Oregon. This building you are looking at is called the Beaverton Masonic Temple it has been a part Beaverton’s community for 120 years. As a student , I have a  connection to this building. My great grandfather was a part of a Masonic family, being apart of Masonic organizations is to give back to local communities is throughout the state. I chose this picture to share the knowledge about something that is very important in my life. Also to show the connection to my life and the community that surrounds me. On this walk I looked at the Beaverton temple with a new set of eyes.","{Historical, Community-related, ecological, sociological, Personal details, Personal / Identity expression, Cross-Strand Example, Share Info, Original Post, Coding question, Extend}",
"1)The reason i chose this picture of these house is because  beaverton never was residential like it is now, back then it used be old house  and was too much trees but now the people been moving here they been working hard to make their houses look nice, and it also reminds me of my house from my home country(Peru) because I never had a nice house till my family started work hard to reach their goal and the goal was to make a big house and look nice. Second reason these picture remind me of my house  because we always decorate our house when is holidays like christmas and new year, we put lights in our trees and gifts for other people and families.","{Historical, Personal details, Community-related, ecological, sociological, Share Info, Original Post, Coding question, Personal / Identity expression}",
"During our walking tour I took these to photo to show because they have some history behind them when beaverton hardly existed. My first photo with the duplexes used to be all farmland for radishes as you can see there is also now public transportation which is the the max line much has changed over time. My second photo I chose because it also was part of farmland for radishes and as you see it is now a 24 hour fitness where you can exercise which is located next to the max line. On the other side of 24 hour fitness is a three story garage for customers to park their cars if they drive.
 I chose these photos because I wanted others to see how much of beavertons history has changed and what used to be there. I also want others to get an idea of how it would look like if we still had farmland instead of today’s generations buildings and technology. Think of yourself being on a farmland instead of a max line and duplexes with a 24 hour fitness across from you.
During our walking tour of beaverton I got to see many things I never knew that had a piece of history I got to see buildings that still existed from the 60’s. Walking at a 3 MPH speed made me feel like I was missing a lot about beaverton. I saw things that I never knew existed i saw forests that used to be beaver dams I saw houses that looked like a box there was so much history it made me change the way I see beaverton. I think how it would feel if I was here when most of beaverton was still farmland and had very little homes.","{Historical, Reader / audience sensitivity, Extend, Elaborate/Explain, Poses a direct question/prompt, Community-related, ecological, sociological, Appreciate, Coding question, Share Info, Original Post, Other, Notice}",
I guess it's because they are afraid of facing wild animals. ,"{Interpret, C-P , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Elaborate/Explain}",
You must of been really high in your apartments. I would love to live in an apartment as high as yours.,"{Interpret, Other, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"Wow, the view is beautiful! Seems like you're very far from your neighborhood, are you? ","{Interpret, Probe , Comment about other person self, context, post/work, C-P , Appreciate, Dialogue, Question, Target Comment or Idea, Thread, exchange, & comment characteristics}",
i see lots of birds in there they are color full.,"{Notice, C-P , Comment about other person self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Actually we don't study Spanish in our school, so i like speaking English for sure . Yes like I said its big responsibility for you while you are studying and like you said it's amazing and inspiring.","{Other, Dialogue, Appreciate, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-C , Share Info, Community-related, ecological, sociological, Personal details, Elaborate/Explain, Coding question, Original Post, Acknowledging prior comments in thread}",
" 
when i see this road, i immediatly remember old ankawa. when people here see these streets they would remember their childhood. most of the houses in these streets are old.
in this picture you can see drain water, i dont like it very much because it looks discusting, we have this on every street. ","{Other, Personal / Identity expression, Personal details, Community-related, ecological, sociological, Original Post, Share Info, Coding question, Notice}",
"I'm not surprised that you don't use these kinds of generators, because my teacher told me he is from US. and thanks for your comments.","{P-C , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Elaborate/Explain, Acknowledging prior comments in thread, Thread, exchange, & comment characteristics, Target Comment or Idea, Appreciate, Dialogue, Differences statements}",
" 
what kind of animals are in the forests?","{P-C , Comment about other person self, context, post/work, Probe , Thread, exchange, & comment characteristics, Target Comment or Idea, Question, Dialogue}",
"it was pretty and i felt calm, how come people are scared to go in the forests? ","{P-C , Commenter's own self, context, post/work, Comment about other person self, context, post/work, Probe , Thread, exchange, & comment characteristics, Target Comment or Idea, Share Info, Dialogue, Question, Elaborate/Explain, Original Post, Emotional expression}",
"Dear ,JKD10 they are over 12 birds and i could only name some of the birds there called marian daniel ALLMILI angel davella ninweh reven and landi these are the school birds.","{P-C , Commenter's own self, context, post/work, Community-related, ecological, sociological, Elaborate/Explain, Thread, exchange, & comment characteristics, Target Comment or Idea, Share Info, Dialogue}",
"Well, it is not an apartments is a house.","{P-C , Commenter's own self, context, post/work, Elaborate/Explain, Thread, exchange, & comment characteristics, Target Comment or Idea, Dialogue}",
"Yes, it does it funny how life is... because 5 years ago I had no direction. I'm proud to be in a masonic youth group and devote my time to my community.","{P-C , Commenter's own self, context, post/work, Personal details, Personal / Identity expression, Emotional expression, Thread, exchange, & comment characteristics, Target Comment or Idea, Share Info, Dialogue, Coding question, Affirming utterance, Elaborate/Explain}",
"You're welcome, and yea it's really common ","{P-C , Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, Target Comment or Idea, Appreciate, Elaborate/Explain, Dialogue}",
"Hello, this is a reply from Paul:
Beautiful work, Amy. Landscapes can become like friends—comforting and familiar. And since I am wlaking for years, and cant carry possessions, I must carry most of what I value inside my head. I keep my memory well-stocked with the landscapes and the people I love.",{Paul comment},
I haven't seen a car like that before I think it looks very interesting. I find old cars cool ,"{Personal / Identity expression, Commenter's own self, context, post/work, Comment about other person self, context, post/work, C-P , Dialogue, Appreciate, Target Comment or Idea, Thread, exchange, & comment characteristics, Extend}",
"Thank for your comment on the pictures. On my walk of Beaverton I saw a lot of nature, I personally agree that it is very beautiful.","{Personal / Identity expression, Connect, P-C , Commenter's own self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Before doing the 6 mile walk i didn't want to at all. I'm lazy, i didn't care for beaverton, i have lived here for most of my life. I thought beaverton was just beaverton and boring. Once we were starting to walk i actually started enjoying it, which for me is a shocker. But seeing all that beaverton had to offer was amazing. I didn't know beaverton could be so pretty, the different streets and houses was cool. There were all different kinds of decorations on house lawns that i have never seen which was awesome to see the different minds of people. Parts of beaverton where we walked the wild animals were friendly. The squirrels were friendly and my brother almost fed one, didn't work because the little squirrel was scared but it was a fun thing to see, especially in beaverton. To conclude this don't take where you live for granted it doesn't hurt to explore around and get a peek at your hometown.","{Personal / Identity expression, Personal details, Extend, Appreciate, Community-related, ecological, sociological, Storytelling, Reader / audience sensitivity, Original Post, Share Info}",
"This picture is of a max station called Beaverton Creek. The reason I chose this picture is because I ride the max every day to get to and from school, and also to other places since I don’t drive. Does Erbil and Canada have a trimet (public transportation) system like this? I couldn’t imagine not having the max because then I wouldn’t be able to get anywhere. It is a very big part of my life. Something I would like you guys to notice is the apartments in the background. Are the apartments the same style compared to your homes? This walk really changed my perspective of my hometown because I got to learn some history behind how it grew to become such a thriving town. I have a new found love for my city.","{Poses a direct question/prompt, Reader / audience sensitivity, Original Post, Notice, Extend, Share Info, Historical, Emotional expression, Personal / Identity expression, Other}",
Thanks for sharing your photos! So is it common for women to be nuns?,"{Probe , C-P , Comment about other person self, context, post/work, Appreciate, Dialogue, Question, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Hi, what an amazing picture i liked the fact's you mentioned about the building and your great grandfather. So does it make you proud to be a part of a Masonic family ?","{Probe , C-P , Comment about other person self, context, post/work, Appreciate, Dialogue, Question, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Wow that bridge looks interesting, do you live near to this bridge?","{Probe , C-P , Comment about other person self, context, post/work, Appreciate, Dialogue, Question, Thread, exchange, & comment characteristics, Target Comment or Idea}",
how many are there. what are there names?,"{Probe , C-P , Comment about other person self, context, post/work, Question, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
What are some of the childhood memories you have when you see this road?,"{Probe , Comment about other person self, context, post/work, C-P , Question, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"
is that u in the pic","{Probe , Comment about other person self, context, post/work, C-P , Question, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
I really like small birds. How many birds are there.,"{Probe , Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Question, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"Amazing, how were you feeling since it was your first time walking into a forest? We have forests here in iraq but people are scared to in there, except the ones who hunt animals just as Falcons and gazelle.","{Probe , Connect, Community-related, ecological, sociological, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Question, Share Info, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Differences statements}",
do you guys see a lot of really good cars?,"{Question, C-P , C-C , Comment about other person self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Probe}",
Is this really from the 60s ,"{Question, Comment about other person self, context, post/work, C-P , Coding question, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Probe}",
What i'd like you others who are reading to get out of my pictures is don't take nature for granted. its not everyday you get to enjoy walking through a forest and seeing all that nature has to offer. Its peaceful when you get to know your history on what your looking at. I found it so cool and interesting that the places i had walked i had no clue about the places until my teachers told me. Nature can change your perspective on life and where you live. Before i thought i knew about where i lived but i didn't and when i got a glimpse of information i was satisfied and proud of where i lived.,"{Reader / audience sensitivity, Appreciate, Historical, Personal details, Original Post, Share Info, Extend, Emotional expression, Cross-Strand Example}",
That's awesome ! hope you had good Christmas. (:,"{use of emojis / emoticons, P-C , Comment about other person self, context, post/work, Appreciate, Dialogue, Internet speak, Thread, exchange, & comment characteristics, Target Comment or Idea}",
,,
